Kód okresu,Kód obce,Názov okresu,Názov obce,Pohlavie,Ekonomické vekové skupiny,abs.
SK0104,SK0104529371,Okres Bratislava IV,Bratislava - mestská časť Devínska Nová Ves,muž,produktívny vek (15-64 rokov),6186
SK0104,SK0104529371,Okres Bratislava IV,Bratislava - mestská časť Devínska Nová Ves,muž,poproduktívny vek (65 a viac rokov),897
SK0104,SK0104529371,Okres Bratislava IV,Bratislava - mestská časť Devínska Nová Ves,žena,predproduktívny vek (0-14 rokov),1298
SK0104,SK0104529371,Okres Bratislava IV,Bratislava - mestská časť Devínska Nová Ves,žena,produktívny vek (15-64 rokov),6235
SK0104,SK0104529371,Okres Bratislava IV,Bratislava - mestská časť Devínska Nová Ves,žena,poproduktívny vek (65 a viac rokov),1174
SK0104,SK0104529389,Okres Bratislava IV,Bratislava - mestská časť Dúbravka,muž,predproduktívny vek (0-14 rokov),2839
SK0104,SK0104529389,Okres Bratislava IV,Bratislava - mestská časť Dúbravka,muž,produktívny vek (15-64 rokov),11304
SK0104,SK0104529389,Okres Bratislava IV,Bratislava - mestská časť Dúbravka,muž,poproduktívny vek (65 a viac rokov),2966
SK0104,SK0104529389,Okres Bratislava IV,Bratislava - mestská časť Dúbravka,žena,predproduktívny vek (0-14 rokov),2673
SK0104,SK0104529389,Okres Bratislava IV,Bratislava - mestská časť Dúbravka,žena,produktívny vek (15-64 rokov),11438
SK0104,SK0104529389,Okres Bratislava IV,Bratislava - mestská časť Dúbravka,žena,poproduktívny vek (65 a viac rokov),4986
SK0104,SK0104529397,Okres Bratislava IV,Bratislava - mestská časť Karlova Ves,muž,predproduktívny vek (0-14 rokov),2598
SK0104,SK0104529397,Okres Bratislava IV,Bratislava - mestská časť Karlova Ves,muž,produktívny vek (15-64 rokov),12122
SK0104,SK0104529397,Okres Bratislava IV,Bratislava - mestská časť Karlova Ves,muž,poproduktívny vek (65 a viac rokov),2260
SK0104,SK0104529397,Okres Bratislava IV,Bratislava - mestská časť Karlova Ves,žena,predproduktívny vek (0-14 rokov),2449
SK0104,SK0104529397,Okres Bratislava IV,Bratislava - mestská časť Karlova Ves,žena,produktívny vek (15-64 rokov),12658
SK0104,SK0104529397,Okres Bratislava IV,Bratislava - mestská časť Karlova Ves,žena,poproduktívny vek (65 a viac rokov),3557
SK0104,SK0104529401,Okres Bratislava IV,Bratislava - mestská časť Devín,muž,predproduktívny vek (0-14 rokov),218
SK0104,SK0104529401,Okres Bratislava IV,Bratislava - mestská časť Devín,muž,produktívny vek (15-64 rokov),601
SK0104,SK0104529401,Okres Bratislava IV,Bratislava - mestská časť Devín,muž,poproduktívny vek (65 a viac rokov),131
SK0104,SK0104529401,Okres Bratislava IV,Bratislava - mestská časť Devín,žena,predproduktívny vek (0-14 rokov),171
SK0104,SK0104529401,Okres Bratislava IV,Bratislava - mestská časť Devín,žena,produktívny vek (15-64 rokov),631
SK0104,SK0104529401,Okres Bratislava IV,Bratislava - mestská časť Devín,žena,poproduktívny vek (65 a viac rokov),160
SK0104,SK0104529419,Okres Bratislava IV,Bratislava - mestská časť Lamač,muž,predproduktívny vek (0-14 rokov),665
SK0104,SK0104529419,Okres Bratislava IV,Bratislava - mestská časť Lamač,muž,produktívny vek (15-64 rokov),2164
SK0104,SK0104529419,Okres Bratislava IV,Bratislava - mestská časť Lamač,muž,poproduktívny vek (65 a viac rokov),768
SK0104,SK0104529419,Okres Bratislava IV,Bratislava - mestská časť Lamač,žena,predproduktívny vek (0-14 rokov),632
SK0104,SK0104529419,Okres Bratislava IV,Bratislava - mestská časť Lamač,žena,produktívny vek (15-64 rokov),2236
SK0104,SK0104529419,Okres Bratislava IV,Bratislava - mestská časť Lamač,žena,poproduktívny vek (65 a viac rokov),1324
SK0104,SK0104529427,Okres Bratislava IV,Bratislava - mestská časť Záhorská Bystrica,muž,predproduktívny vek (0-14 rokov),781
SK0104,SK0104529427,Okres Bratislava IV,Bratislava - mestská časť Záhorská Bystrica,muž,produktívny vek (15-64 rokov),2019
SK0104,SK0104529427,Okres Bratislava IV,Bratislava - mestská časť Záhorská Bystrica,muž,poproduktívny vek (65 a viac rokov),365
SK0104,SK0104529427,Okres Bratislava IV,Bratislava - mestská časť Záhorská Bystrica,žena,predproduktívny vek (0-14 rokov),771
SK0104,SK0104529427,Okres Bratislava IV,Bratislava - mestská časť Záhorská Bystrica,žena,produktívny vek (15-64 rokov),2161
SK0104,SK0104529427,Okres Bratislava IV,Bratislava - mestská časť Záhorská Bystrica,žena,poproduktívny vek (65 a viac rokov),444
SK0105,SK0105529435,Okres Bratislava V,Bratislava - mestská časť Čunovo,muž,predproduktívny vek (0-14 rokov),189
SK0105,SK0105529435,Okres Bratislava V,Bratislava - mestská časť Čunovo,muž,produktívny vek (15-64 rokov),542
SK0105,SK0105529435,Okres Bratislava V,Bratislava - mestská časť Čunovo,muž,poproduktívny vek (65 a viac rokov),105
SK0105,SK0105529435,Okres Bratislava V,Bratislava - mestská časť Čunovo,žena,predproduktívny vek (0-14 rokov),172
