Zoznam kandidátov na starostu obce,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poradie na hlasovacom lístku,Meno,Priezvisko,Titul,Vek,Zamestnanie,Politický subjekt,Poznámka
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,3,Ján,Polakovič,PhDr.,33,"poslanec miestneho zastupiteľstva, manažér",NEKA,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,4,Teodor,Žitný,Ing.,66,dôchodca,NK/NEKA,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,1,Monika,Debnárová,Ing.,46,projektová manažérka,NEKA,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,2,Juraj,Ondruška,"Ing., PhD.",40,"vysokoškolský pedagóg, vedecko-výskumný pracovník",NEKA,
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,3,Michal,Vlček,Ing.,42,starosta,NEKA,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,1,Jana,Jakubkovič,JUDr.,37,"právnička, manažérka",NEKA,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,2,Rastislav,Kunst,Mgr.,50,riaditeľ školy,"SME RODINA, ZA ĽUDÍ, DOBRÁ VOĽBA a Umiernení, SZÖVETSÉG - ALIANCIA",
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,3,Štefan,Lőrinc,"Ing., PhD.",56,obchodný zástupca,NEKA,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,4,Anton,Martvoň,"Mgr., PhD.",42,komunálny právnik,Hlas - sociálna demokracia,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,5,Igor,Prieložný,Bc.,39,"remeselník, filmár","Team Bratislava, Progresívne Slovensko, SaS",
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,1,Dárius,Krajčír,,35,starosta,SOM Slovensko,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,2,Ján,Žatko,Ing.,64,hlavný štátny radca,"SME RODINA, KDH, ZA ĽUDÍ, DOBRÁ VOĽBA a Umiernení, SPOLU",
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,1,Marek,Dinuš,Mgr.,44,manažér,NEKA,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,2,Martin,Zaťovič,RNDr.,50,starosta,SOM Slovensko,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,1,Ľubica,Cintulová,Ing.,60,podnikateľka,Hnutie ONÁS,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,2,Dana,Čahojová,MUDr.,60,starostka,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,3,Ján,Krošlák,,48,poslanec národnej rady,"SME RODINA, ZA ĽUDÍ, SZÖVETSÉG - ALIANCIA",
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,4,Branislav,Rusnák,,47,manažér,NK/NEKA,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,1,Lukáš,Baňacký,Ing.,43,starosta,SOM Slovensko,
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,2,Radoslav,Olekšák,"Mgr., Ing.",44,"politológ, ekonóm","Hlas - sociálna demokracia, SMER - SD, SNS",
